League,Date,Time,Home,Away,Odds_1,Odds_X,Odds_2
2. Bundesliga (Germany),2026-04-11,20:00,Hertha Berlin,Kaiserslautern,1.73,4.05,4.12
2. Bundesliga (Germany),2026-04-11,20:00,Nurnberg,SG Dynamo Dresden,2.09,3.68,3.15
2. Bundesliga (Germany),2026-04-11,20:00,Preussen Munster,Greuther Furth,2.19,3.3,3.26
Premier League (England),2026-04-11,20:30,Arsenal,Bournemouth,1.49,4.75,6.86
Championship (England),2026-04-11,20:30,Coventry,Sheffield Wed,1.11,9.2,17.0
Championship (England),2026-04-11,20:30,Norwich,Ipswich,2.82,3.48,2.35
Championship (England),2026-04-11,20:30,QPR,Bristol City,2.15,3.32,3.33
La Liga (Spain),2026-04-11,21:00,Real Sociedad,Alaves,1.79,3.94,4.93
Ligue 2 (France),2026-04-11,21:00,Boulogne,Le Mans,3.59,2.97,2.21
Ligue 2 (France),2026-04-11,21:00,Red Star,Bastia,2.21,3.08,3.45
Serie A (Italy),2026-04-11,22:00,Cagliari,Cremonese,2.24,3.21,3.89
Serie A (Italy),2026-04-11,22:00,Torino,Verona,2.0,3.4,4.55
Serie B (Italy),2026-04-11,22:00,Entella,Venezia,4.74,3.9,1.67
Serie B (Italy),2026-04-11,22:00,Juve Stabia,Cesena,2.15,3.24,3.41
Serie B (Italy),2026-04-11,22:00,Pescara,Sampdoria,2.2,3.18,3.35
Serie B (Italy),2026-04-11,22:00,Sudtirol,Modena,3.04,2.91,2.54
Bundesliga (Germany),2026-04-11,22:30,Dortmund,Bayer Leverkusen,2.05,4.0,3.61
Bundesliga (Germany),2026-04-11,22:30,Heidenheim,Union Berlin,3.09,3.66,2.39
Bundesliga (Germany),2026-04-11,22:30,RB Leipzig,B. Monchengladbach,1.51,5.03,6.4
Bundesliga (Germany),2026-04-11,22:30,Wolfsburg,Eintracht Frankfurt,2.65,3.76,2.68
Premier League (England),2026-04-11,23:00,Brentford,Everton,2.2,3.48,3.68
Premier League (England),2026-04-11,23:00,Burnley,Brighton,0.0,0.0,0.0
Championship (England),2026-04-11,23:00,Charlton,Preston,2.1,3.32,3.44
Championship (England),2026-04-11,23:00,Leicester,Swansea,2.09,3.5,3.3
Championship (England),2026-04-11,23:00,Middlesbrough,Portsmouth,1.53,4.25,5.62
Championship (England),2026-04-11,23:00,Oxford Utd,Watford,2.38,3.24,2.95
Championship (England),2026-04-11,23:00,Sheffield Utd,Hull,1.77,3.9,4.07
Championship (England),2026-04-11,23:00,Southampton,Derby,1.71,3.82,4.55
Championship (England),2026-04-11,23:00,Stoke,Blackburn,2.58,3.14,2.73
La Liga (Spain),2026-04-11,23:15,Elche,Valencia,2.6,3.38,2.99
La Liga 2 (Spain),2026-04-11,23:15,Burgos CF,Gijon,2.18,3.17,3.73
La Liga 2 (Spain),2026-04-11,23:15,Leganes,Albacete,2.24,3.19,3.54
Eredivisie (Netherlands),2026-04-11,23:30,Utrecht,Telstar,1.66,3.77,5.76
Serie B (Italy),2026-04-12,00:15,Avellino,Catanzaro,2.66,3.1,2.68
Serie A (Italy),2026-04-12,01:00,AC Milan,Udinese,1.51,4.85,6.83
Premier League (England),2026-04-12,01:30,Liverpool,Fulham,1.71,4.33,4.99
La Liga (Spain),2026-04-12,01:30,Barcelona,Espanyol,1.32,6.65,9.25
La Liga 2 (Spain),2026-04-12,01:30,Malaga,Las Palmas,2.41,3.23,3.15
Bundesliga (Germany),2026-04-12,01:30,St. Pauli,Bayern Munich,8.15,5.2,1.43
Eredivisie (Netherlands),2026-04-12,01:45,Sparta Rotterdam,PSV,4.05,4.42,1.76
Ligue 1 (France),2026-04-12,02:00,Auxerre,Nantes,2.02,3.46,4.32
Serie B (Italy),2026-04-12,02:30,Monza,Bari,1.34,4.9,8.5
Ligue 2 (France),2026-04-12,03:00,St Etienne,Dunkerque,1.62,4.1,4.88
Eredivisie (Netherlands),2026-04-12,03:00,Groningen,G.A. Eagles,1.86,3.96,3.95
2. Bundesliga (Germany),2026-04-12,03:30,Darmstadt,Hannover,2.67,3.62,2.38
Serie A (Italy),2026-04-12,03:45,Atalanta,Juventus,3.25,3.47,2.39
La Liga (Spain),2026-04-12,04:00,Sevilla,Atl. Madrid,2.59,3.24,3.12
