sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Bundesliga,Round 1,23/08/,Eintracht Frankfurt,Werder Bremen,4,1,0,1.57,4.85,5.36,g_1_GGIPZUw0,2.74,0.52
football,Bundesliga,Round 1,23/08/,Freiburg,Augsburg,1,3,2,1.96,3.69,4.0,g_1_8OzXX88C,2.6,1.34
football,Bundesliga,Round 1,23/08/,Heidenheim,Wolfsburg,1,3,2,2.86,3.37,2.61,g_1_8pC7pnhI,0.71,2.45
football,Bundesliga,Round 1,23/08/,Union Berlin,Stuttgart,2,1,0,4.2,3.84,1.88,g_1_GUcblUhg,0.35,1.72
football,Bundesliga,Round 1,23/08/,Bayern Munich,RB Leipzig,6,0,0,1.25,7.2,11.3,g_1_GtYJcyBd,1.64,0.54
football,Bundesliga,Round 19,24/01/,Bayern Munich,Augsburg,1,2,2,0.0,0.0,0.0,g_1_WQTReAO7,1.47,1.17
football,Bundesliga,Round 19,24/01/,Eintracht Frankfurt,Hoffenheim,1,3,2,3.1,3.72,2.28,g_1_KnAMHioR,0.59,1.36
football,Bundesliga,Round 19,24/01/,Heidenheim,RB Leipzig,0,3,2,4.49,4.49,1.71,g_1_zZjSO8hf,0.95,1.65
football,Bundesliga,Round 19,24/01/,Mainz,Wolfsburg,3,1,0,2.34,3.47,3.16,g_1_AXGgA9w1,3.82,0.73
football,Bundesliga,Round 19,24/01/,St. Pauli,Hamburger SV,0,0,1,2.88,2.98,2.88,g_1_2LhKQUNs,0.33,0.36
football,Bundesliga,Round 18,19/01/,Augsburg,Freiburg,2,2,1,2.62,3.33,2.87,g_1_x4hW6zX8,0.91,1.53
football,Bundesliga,Round 18,18/01/,Stuttgart,Union Berlin,1,1,1,1.64,4.1,5.64,g_1_lrCyogAk,2.13,1.71
football,Bundesliga,Round 18,18/01/,RB Leipzig,Bayern Munich,1,5,2,4.5,4.47,1.71,g_1_dSod5Ne4,2.45,4.57
football,Bundesliga,Round 18,17/01/,FC Koln,Mainz,2,1,0,2.2,3.48,3.48,g_1_2oxBahPr,2.08,1.53
football,Bundesliga,Round 18,17/01/,Hamburger SV,B. Monchengladbach,0,0,1,2.5,3.57,2.86,g_1_O0QJcWge,1.19,0.48
football,Bundesliga,Round 18,17/01/,Hoffenheim,Bayer Leverkusen,1,0,0,2.38,3.85,2.84,g_1_YVou5E1L,1.55,0.97
football,Bundesliga,Round 18,17/01/,Wolfsburg,Heidenheim,1,1,1,1.7,4.19,4.86,g_1_pA5pqXv2,0.93,1.0
football,Bundesliga,Round 18,17/01/,Werder Bremen,Eintracht Frankfurt,3,3,1,2.87,3.7,2.43,g_1_Isz531QG,1.97,0.99
football,Bundesliga,Round 17,16/01/,Augsburg,Union Berlin,1,1,1,2.75,3.3,2.75,g_1_zaIEhpCb,0.56,1.31
football,Bundesliga,Round 17,15/01/,FC Koln,Bayern Munich,1,3,2,12.2,7.75,1.22,g_1_xOEVl2BN,0.72,1.5
football,Bundesliga,Round 17,15/01/,Hoffenheim,B. Monchengladbach,5,1,0,0.0,0.0,0.0,g_1_rPLMjOtB,3.42,0.94
football,Bundesliga,Round 17,15/01/,RB Leipzig,Freiburg,2,0,0,1.76,4.0,4.68,g_1_4IYfxPRH,2.48,0.17
football,Bundesliga,Round 17,15/01/,Wolfsburg,St. Pauli,2,1,0,1.86,3.65,4.56,g_1_EqU5f6sn,1.88,0.89
football,Bundesliga,Round 17,14/01/,Dortmund,Werder Bremen,3,0,0,1.46,5.13,6.67,g_1_zwsvt7Sh,2.42,0.52
football,Bundesliga,Round 17,14/01/,Mainz,Heidenheim,2,1,0,1.78,3.92,4.65,g_1_W4zmvoc5,1.38,1.54
football,Bundesliga,Round 17,14/01/,Stuttgart,Eintracht Frankfurt,3,2,0,0.0,0.0,0.0,g_1_OKldz3dU,2.31,0.97
football,Bundesliga,Round 16,12/01/,Bayern Munich,Wolfsburg,8,1,0,1.14,10.3,18.4,g_1_8lrOEUTg,3.3,1.37
football,Bundesliga,Round 16,11/01/,B. Monchengladbach,Augsburg,4,0,0,1.95,3.8,3.91,g_1_zP15R7Da,2.99,1.79
football,Bundesliga,Round 21,08/02/,B. Monchengladbach,Bayer Leverkusen,1,1,1,3.65,3.78,2.03,g_1_6FjAy7gc,0.7,0.79
football,Bundesliga,Round 21,07/02/,Freiburg,Werder Bremen,1,0,0,2.15,3.49,3.58,g_1_rNb2ZGCT,0.46,0.98
football,Bundesliga,Round 21,07/02/,Heidenheim,Hamburger SV,0,2,2,2.88,3.5,2.52,g_1_0xS5Qtod,1.55,1.6
football,Bundesliga,Round 21,07/02/,Mainz,Augsburg,2,0,0,1.96,3.79,3.9,g_1_vgpYTfzi,2.41,0.7
football,Bundesliga,Round 21,07/02/,St. Pauli,Stuttgart,2,1,0,4.86,3.99,1.74,g_1_6wZdS2Gq,1.95,0.84
football,Bundesliga,Round 21,07/02/,Wolfsburg,Dortmund,1,2,2,4.31,4.44,1.74,g_1_EufIZpO9,1.46,1.23
football,Bundesliga,Round 21,07/02/,Union Berlin,Eintracht Frankfurt,1,1,1,2.18,3.63,3.37,g_1_zerRXOhM,1.53,0.15
football,Bundesliga,Round 18,17/01/,Dortmund,St. Pauli,3,2,0,1.37,4.93,10.4,g_1_l2rl7qRi,3.21,0.55
football,Bundesliga,Round 21,09/02/,Bayern Munich,Hoffenheim,5,1,0,1.22,8.52,10.7,g_1_ne5gywrH,6.02,2.04
football,Bundesliga,Round 21,08/02/,FC Koln,RB Leipzig,1,2,2,3.65,3.97,1.98,g_1_hWEilpw3,1.05,1.99
football,Bundesliga,Round 22,14/02/,Dortmund,Mainz,4,0,0,1.66,4.3,5.11,g_1_tdmuut0k,2.32,1.51
football,Bundesliga,Round 22,15/02/,Stuttgart,FC Koln,3,1,0,1.57,4.85,5.36,g_1_GYRsa1iL,2.26,1.59
football,Bundesliga,Round 22,14/02/,Bayer Leverkusen,St. Pauli,4,0,0,1.54,4.41,6.43,g_1_lb80nO7F,1.58,0.52
football,Bundesliga,Round 22,14/02/,Eintracht Frankfurt,B. Monchengladbach,3,0,0,2.24,3.56,3.3,g_1_dOB8p2xS,1.63,1.19
