sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Laliga 2023 2024,Round 38,27/05/,Sevilla,Barcelona,1,2,2,g_1_bDmOFmNG,5.03,4.27,1.67,1.77,1.38
football,Laliga 2023 2024,Round 38,26/05/,Celta Vigo,Valencia,2,2,1,g_1_2R3LeSVp,1.93,3.8,4.03,1.52,1.96
football,Laliga 2023 2024,Round 38,26/05/,Las Palmas,Alaves,1,1,1,g_1_hCtXDRiT,2.35,3.58,3.07,1.03,2.11
football,Laliga 2023 2024,Round 38,26/05/,Getafe,Mallorca,1,2,2,g_1_GUi3KB8o,2.35,3.28,3.33,0.78,1.6
football,Laliga 2023 2024,Round 38,26/05/,Real Madrid,Betis,0,0,1,g_1_txwTE7xN,1.31,6.17,9.59,0.84,0.99
football,Laliga 2023 2024,Round 38,26/05/,Almeria,Cadiz CF,6,1,0,g_1_0IHg08NT,2.18,3.88,3.17,2.56,0.37
football,Laliga 2023 2024,Round 38,26/05/,Rayo Vallecano,Ath Bilbao,0,1,2,g_1_jmpGH9h4,3.37,3.3,2.33,1.07,0.78
football,Laliga 2023 2024,Round 38,25/05/,Real Sociedad,Atl. Madrid,0,2,2,g_1_KMlKGT7A,2.69,3.38,2.76,0.55,1.68
football,Laliga 2023 2024,Round 38,25/05/,Osasuna,Villarreal,1,1,1,g_1_CdoCIkwb,2.67,3.7,2.59,0.95,1.55
football,Laliga 2023 2024,Round 38,25/05/,Girona,Granada CF,7,0,0,g_1_UXe7JVNi,1.25,7.09,11.7,4.65,1.12
football,Laliga 2023 2024,Round 37,20/05/,Ath Bilbao,Sevilla,2,0,0,g_1_t2MJmVwO,1.59,4.28,5.93,1.24,1.24
football,Laliga 2023 2024,Round 37,20/05/,Atl. Madrid,Osasuna,1,4,2,g_1_vmuNnkgU,1.34,5.3,10.4,1.59,1.78
football,Laliga 2023 2024,Round 37,20/05/,Barcelona,Rayo Vallecano,3,0,0,g_1_4A6T7YOu,1.36,5.64,8.51,1.4,1.31
football,Laliga 2023 2024,Round 37,20/05/,Betis,Real Sociedad,0,2,2,g_1_r15X6hvn,3.38,2.97,2.51,1.91,0.44
football,Laliga 2023 2024,Round 37,20/05/,Cadiz CF,Las Palmas,0,0,1,g_1_CzAy6Cgh,1.91,3.47,4.55,0.8,0.61
football,Laliga 2023 2024,Round 37,20/05/,Granada CF,Celta Vigo,1,2,2,g_1_ng2l3AwB,3.99,3.56,2.01,1.13,1.32
football,Laliga 2023 2024,Round 37,20/05/,Mallorca,Almeria,2,2,1,g_1_Ykbp4jO4,1.4,4.59,9.99,3.19,0.43
football,Laliga 2023 2024,Round 37,20/05/,Valencia,Girona,1,3,2,g_1_tG1h2UhH,3.88,3.82,1.96,2.89,2.49
football,Laliga 2023 2024,Round 37,20/05/,Villarreal,Real Madrid,4,4,1,g_1_K60d1l8N,3.22,3.87,2.17,1.98,1.16
football,Laliga 2023 2024,Round 37,19/05/,Alaves,Getafe,1,0,0,g_1_jR8u5W8b,1.97,3.46,4.28,1.19,0.32
football,Laliga 2023 2024,Round 36,17/05/,Real Sociedad,Valencia,1,0,0,g_1_p8EMBsQD,1.5,4.32,7.42,0.53,0.83
football,Laliga 2023 2024,Round 36,17/05/,Almeria,Barcelona,0,2,2,g_1_vBRzlvY6,7.56,5.13,1.42,0.79,1.59
