sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Premier League 2024 2025,Round 38,26/05/,Bournemouth,Leicester,2,0,0,g_1_44RKa9ke,1.38,5.64,7.82,1.79,0.27
football,Premier League 2024 2025,Round 38,26/05/,Fulham,Manchester City,0,2,2,g_1_QJFTcmK7,6.24,4.64,1.53,1.74,2.84
football,Premier League 2024 2025,Round 38,26/05/,Ipswich,West Ham,1,3,2,g_1_hQ7FLjCE,3.25,3.65,2.23,0.79,1.01
football,Premier League 2024 2025,Round 38,26/05/,Liverpool,Crystal Palace,1,1,1,g_1_lh1OJUtR,1.4,6.31,6.31,2.17,1.75
football,Premier League 2024 2025,Round 38,26/05/,Manchester Utd,Aston Villa,2,0,0,g_1_pOnfE84l,4.38,4.42,1.74,2.86,0.4
football,Premier League 2024 2025,Round 38,26/05/,Newcastle,Everton,0,1,2,g_1_4Q2eCnZ0,1.3,6.11,10.2,1.27,0.9
football,Premier League 2024 2025,Round 38,26/05/,Nottingham,Chelsea,0,1,2,g_1_Cj63AQ3D,3.5,3.86,2.06,1.35,1.07
football,Premier League 2024 2025,Round 38,26/05/,Southampton,Arsenal,1,2,2,g_1_hnqjYTeK,12.2,6.11,1.28,0.63,2.2
football,Premier League 2024 2025,Round 38,26/05/,Tottenham,Brighton,1,4,2,g_1_OUZLS7Js,3.63,4.12,1.95,1.95,2.27
football,Premier League 2024 2025,Round 38,26/05/,Wolves,Brentford,1,1,1,g_1_4vrUQolf,2.98,3.8,2.31,1.12,1.43
football,Premier League 2024 2025,Round 37,21/05/,Crystal Palace,Wolves,4,2,0,g_1_boy65vMG,2.31,3.37,3.33,1.69,1.52
football,Premier League 2024 2025,Round 37,21/05/,Manchester City,Bournemouth,3,1,0,g_1_Wh8WLa6c,1.36,5.64,8.64,1.6,1.06
football,Premier League 2024 2025,Round 37,20/05/,Brighton,Liverpool,3,2,0,g_1_fgvk9MMi,2.31,3.91,2.91,2.34,2.11
football,Premier League 2024 2025,Round 37,19/05/,Arsenal,Newcastle,1,0,0,g_1_xI7Oh1xB,1.91,3.79,4.1,0.65,1.6
football,Premier League 2024 2025,Round 37,18/05/,Brentford,Fulham,2,3,2,g_1_2ai3oJUp,1.99,3.9,3.67,3.0,0.95
football,Premier League 2024 2025,Round 37,18/05/,Leicester,Ipswich,2,0,0,g_1_GpQqbdEj,2.3,3.69,3.07,0.7,1.56
football,Premier League 2024 2025,Round 37,18/05/,West Ham,Nottingham,1,2,2,g_1_b7OC1VKr,3.13,3.48,2.36,0.98,1.91
football,Premier League 2024 2025,Round 37,18/05/,Everton,Southampton,2,0,0,g_1_K0PE3IjT,1.46,4.87,7.18,2.39,1.16
football,Premier League 2024 2025,Round 37,17/05/,Chelsea,Manchester Utd,1,0,0,g_1_jLXc70i4,1.62,4.62,5.13,0.82,0.44
football,Premier League 2024 2025,Round 37,17/05/,Aston Villa,Tottenham,2,0,0,g_1_prBWju7N,1.3,6.6,9.1,1.56,0.32
football,Premier League 2024 2025,Round 36,12/05/,Liverpool,Arsenal,2,2,1,g_1_8GvXq6gt,2.17,3.57,3.44,2.56,2.31
football,Premier League 2024 2025,Round 36,11/05/,Manchester Utd,West Ham,0,2,2,g_1_UVSurpOh,1.98,3.76,3.85,2.28,1.56
football,Premier League 2024 2025,Round 36,11/05/,Nottingham,Leicester,2,2,1,g_1_YNPdv2NH,1.41,5.13,8.1,1.31,1.07
football,Premier League 2024 2025,Round 36,11/05/,Tottenham,Crystal Palace,0,2,2,g_1_8xG7dqwn,3.02,3.68,2.34,0.68,3.39
football,Premier League 2024 2025,Round 36,11/05/,Newcastle,Chelsea,2,0,0,g_1_xdWmtOh5,2.25,3.84,3.07,1.89,0.63
football,Premier League 2024 2025,Round 36,11/05/,Bournemouth,Aston Villa,0,1,2,g_1_4Uh7Tp9a,2.75,3.59,2.57,0.29,0.99
football,Premier League 2024 2025,Round 36,10/05/,Fulham,Everton,1,3,2,g_1_xriFROwC,1.78,3.66,5.09,0.96,1.05
football,Premier League 2024 2025,Round 36,10/05/,Ipswich,Brentford,0,1,2,g_1_Y9pOP28O,5.64,4.61,1.57,0.88,1.21
football,Premier League 2024 2025,Round 36,10/05/,Southampton,Manchester City,0,0,1,g_1_6yO4xthU,14.1,7.28,1.22,0.11,1.89
