sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Europa League 2022 2023,Regular Season,01/06/,SevillaWinner,AS Roma,2,1,0,g_1_bgJJ0Bq4,3.28,2.82,2.69,1.02,2.15
football,Europa League 2022 2023,Regular Season,19/05/,Bayer Leverkusen,AS RomaAdvancing to next round,0,0,1,g_1_2Bmng4JC,2.17,3.35,3.71,0.95,0.03
football,Europa League 2022 2023,Regular Season,19/05/,SevillaAdvancing to next round,Juventus,2,1,0,g_1_Eq05cvaN,2.41,3.25,3.25,1.37,1.47
football,Europa League 2022 2023,Regular Season,12/05/,AS Roma,Bayer Leverkusen,1,0,0,g_1_Knbsfp46,2.28,3.15,3.64,1.02,1.03
football,Europa League 2022 2023,Regular Season,12/05/,Juventus,Sevilla,1,1,1,g_1_d850bKqH,1.77,3.58,5.37,0.94,1.75
football,Europa League 2022 2023,Regular Season,21/04/,AS RomaAdvancing to next round,Feyenoord,4,1,0,g_1_C6U9c2Hs,1.76,3.59,5.45,5.21,1.29
football,Europa League 2022 2023,Regular Season,21/04/,Royale Union SG,Bayer LeverkusenAdvancing to next round,1,4,2,g_1_0S0iuL1D,3.58,3.57,2.12,1.47,2.56
football,Europa League 2022 2023,Regular Season,21/04/,SevillaAdvancing to next round,Manchester Utd,3,0,0,g_1_SYhw3OgK,3.91,3.6,2.01,2.16,1.01
football,Europa League 2022 2023,Regular Season,21/04/,Sporting CP,JuventusAdvancing to next round,1,1,1,g_1_KWXHetnf,2.35,3.4,3.36,2.15,1.33
football,Europa League 2022 2023,Regular Season,14/04/,Bayer Leverkusen,Royale Union SG,1,1,1,g_1_My2mt1n7,1.48,4.92,6.6,1.64,0.66
football,Europa League 2022 2023,Regular Season,14/04/,Juventus,Sporting CP,1,0,0,g_1_ttZDdMWm,1.8,3.39,5.58,0.83,1.89
football,Europa League 2022 2023,Regular Season,14/04/,Manchester Utd,Sevilla,2,2,1,g_1_EVlZ34vE,1.38,5.36,8.5,1.89,0.67
football,Europa League 2022 2023,Regular Season,14/04/,Feyenoord,AS Roma,1,0,0,g_1_Acrr2r9Q,2.59,3.18,3.04,0.59,2.04
football,Europa League 2022 2023,Regular Season,17/03/,Arsenal,Sporting CPAdvancing to next round,1,2,2,g_1_zFbyknEt,1.34,5.6,9.3,2.06,1.29
football,Europa League 2022 2023,Regular Season,17/03/,Ferencvaros,Bayer LeverkusenAdvancing to next round,0,2,2,g_1_Q3DJ1Pcn,5.19,3.94,1.71,1.04,3.14
football,Europa League 2022 2023,Regular Season,17/03/,Real Sociedad,AS RomaAdvancing to next round,0,0,1,g_1_8pIt9SM9,2.04,3.32,4.18,1.99,0.11
football,Europa League 2022 2023,Regular Season,17/03/,Royale Union SGAdvancing to next round,Union Berlin,3,0,0,g_1_v7eho4D5,3.5,2.98,2.44,2.03,0.48
football,Europa League 2022 2023,Regular Season,17/03/,Betis,Manchester UtdAdvancing to next round,0,1,2,g_1_MH5OVODI,3.97,3.85,1.93,1.24,1.82
football,Europa League 2022 2023,Regular Season,17/03/,Fenerbahce,SevillaAdvancing to next round,1,0,0,g_1_0KEYAlhc,2.1,3.65,3.58,1.89,0.09
football,Europa League 2022 2023,Regular Season,17/03/,FeyenoordAdvancing to next round,Shakhtar Donetsk,7,1,0,g_1_WthpmQrg,1.51,4.51,6.77,1.71,0.62
football,Europa League 2022 2023,Regular Season,17/03/,Freiburg,JuventusAdvancing to next round,0,2,2,g_1_0t8rdLRN,3.58,3.26,2.25,0.79,2.15
football,Europa League 2022 2023,Regular Season,10/03/,Juventus,Freiburg,1,0,0,g_1_l64vc1CH,1.61,3.89,6.53,2.04,0.05
football,Europa League 2022 2023,Regular Season,10/03/,Manchester Utd,Betis,4,1,0,g_1_vgGJW4bC,1.34,5.46,9.64,3.21,0.52
football,Europa League 2022 2023,Regular Season,10/03/,Sevilla,Fenerbahce,2,0,0,g_1_MTFUBUxi,1.96,3.49,4.3,0.69,1.22
football,Europa League 2022 2023,Regular Season,10/03/,Shakhtar Donetsk,Feyenoord,1,1,1,g_1_hjgtl6Tn,3.46,3.57,2.17,0.28,2.12
football,Europa League 2022 2023,Regular Season,10/03/,AS Roma,Real Sociedad,2,0,0,g_1_UgJxA873,2.46,2.93,3.74,2.14,0.76
football,Europa League 2022 2023,Regular Season,10/03/,Bayer Leverkusen,Ferencvaros,2,0,0,g_1_C09F25rt,1.3,6.4,11.0,0.67,0.51
football,Europa League 2022 2023,Regular Season,10/03/,Sporting CP,Arsenal,2,2,1,g_1_Y5C9gS5P,3.94,3.46,2.11,2.19,2.24
football,Europa League 2022 2023,Regular Season,10/03/,Union Berlin,Royale Union SG,3,3,1,g_1_Q3ilnpba,1.71,3.6,6.55,3.19,1.47
football,Europa League 2022 2023,Regular Season,24/02/,AS RomaAdvancing to next round,Salzburg,2,0,0,g_1_CUbsDBVE,1.66,3.84,5.98,1.79,1.38
football,Europa League 2022 2023,Regular Season,24/02/,Manchester UtdAdvancing to next round,Barcelona,2,1,0,g_1_xzZ2GPK9,2.29,3.49,3.26,1.31,1.24
football,Europa League 2022 2023,Regular Season,24/02/,Rennes,Shakhtar DonetskAdvancing to next round,2,2,1,g_1_xbHk7Lsd,1.81,4.08,4.33,2.54,0.46
football,Europa League 2022 2023,Regular Season,24/02/,Union BerlinAdvancing to next round,Ajax,3,1,0,g_1_UXDs9sDq,2.35,3.28,3.33,1.79,1.72
football,Europa League 2022 2023,Regular Season,24/02/,Midtjylland,Sporting CPAdvancing to next round,0,4,2,g_1_4SwM5TNl,4.91,3.49,1.85,0.43,2.06
football,Europa League 2022 2023,Regular Season,24/02/,Monaco,Bayer LeverkusenAdvancing to next round,2,4,2,g_1_AmXAE3kM,2.12,3.68,3.49,1.96,2.29
