sports,league,round,date,home team,away team,home team total goal,away team total goal,result,match_id,odds_1,odds_x,odds_2,home_xg,away_xg
football,Laliga2 2024 2025,Regular Season,22/06/,OviedoWinner,Mirandes,3,1,0,g_1_be8rbqvR,1.92,3.32,4.23,1.69,1.38
football,Laliga2 2024 2025,Regular Season,16/06/,Mirandes,Oviedo,1,0,0,g_1_jV4z059E,2.03,2.83,4.73,0.28,1.17
football,Laliga2 2024 2025,Regular Season,13/06/,MirandesAdvancing to next round,Racing Santander,4,1,0,g_1_8EmxUN05,1.82,3.73,4.15,1.87,0.77
football,Laliga2 2024 2025,Regular Season,12/06/,OviedoAdvancing to next round,Almeria,1,1,1,g_1_KvxMX51t,2.12,3.45,3.38,0.49,1.34
football,Laliga2 2024 2025,Regular Season,09/06/,Racing Santander,Mirandes,3,3,1,g_1_G6VUVqWh,2.43,3.21,2.99,1.81,1.97
football,Laliga2 2024 2025,Regular Season,08/06/,Almeria,Oviedo,1,2,2,g_1_4S1CD2GO,2.32,3.11,3.28,0.93,0.65
football,Laliga2 2024 2025,Round 42,02/06/,Cordoba,Albacete,1,1,1,g_1_KM6bBKNi,1.7,4.23,4.32,2.88,1.12
football,Laliga2 2024 2025,Round 42,02/06/,Almeria,Tenerife,2,0,0,g_1_82LObsvn,1.34,5.05,8.93,1.53,0.3
football,Laliga2 2024 2025,Round 42,02/06/,Dep. La Coruna,Elche,0,4,2,g_1_8rwtgw8N,5.74,3.6,1.65,0.14,1.66
football,Laliga2 2024 2025,Round 42,02/06/,FC Cartagena SAD,Mirandes,1,3,2,g_1_tGJWdL8b,7.82,5.59,1.33,0.93,1.62
football,Laliga2 2024 2025,Round 42,02/06/,Huesca,Eldense,3,2,0,g_1_Eqrf0fFj,1.76,3.72,4.52,2.18,0.53
football,Laliga2 2024 2025,Round 42,02/06/,Levante,Eibar,1,0,0,g_1_r1iO5GiT,1.66,3.93,4.99,1.85,1.31
football,Laliga2 2024 2025,Round 42,02/06/,Oviedo,Cadiz CF,2,1,0,g_1_nZcF7xNG,1.44,4.13,8.23,0.59,0.84
football,Laliga2 2024 2025,Round 42,02/06/,Racing Santander,Granada CF,2,1,0,g_1_fuLtOc7c,2.28,3.51,2.99,1.65,0.51
football,Laliga2 2024 2025,Round 42,01/06/,Malaga,Burgos CF,2,2,1,g_1_ELa79bh4,2.18,3.34,3.34,1.59,1.91
football,Laliga2 2024 2025,Round 42,31/05/,Racing Club Ferrol,Gijon,0,2,2,g_1_hGECmHVp,3.11,3.11,2.41,1.42,1.26
football,Laliga2 2024 2025,Round 42,31/05/,Castellon,Zaragoza,4,1,0,g_1_0IZXfawB,1.85,3.94,3.79,2.65,1.66
football,Laliga2 2024 2025,Round 41,26/05/,Burgos CF,Levante,2,3,2,g_1_nD4zjDeE,4.54,3.02,1.98,0.46,1.92
football,Laliga2 2024 2025,Round 41,26/05/,Cadiz CF,Huesca,4,0,0,g_1_hCW7X4um,2.71,3.12,2.71,1.05,0.56
football,Laliga2 2024 2025,Round 41,26/05/,Eibar,Cordoba,4,1,0,g_1_0dbcrMg5,2.03,3.35,3.75,2.51,1.33
football,Laliga2 2024 2025,Round 41,26/05/,Elche,Malaga,2,0,0,g_1_ERKGVrAa,1.35,4.81,9.12,1.51,0.28
football,Laliga2 2024 2025,Round 41,26/05/,Eldense,Racing Santander,3,3,1,g_1_0rJOTMvC,2.61,3.72,2.46,2.55,1.46
football,Laliga2 2024 2025,Round 41,26/05/,Gijon,FC Cartagena SAD,3,2,0,g_1_CMnsn4ft,1.38,4.56,8.62,1.79,1.16
football,Laliga2 2024 2025,Round 41,26/05/,Granada CF,Castellon,2,1,0,g_1_8ltjprPh,1.46,4.79,6.05,2.54,0.3
football,Laliga2 2024 2025,Round 41,26/05/,Mirandes,Almeria,0,0,1,g_1_dACXR09O,2.14,3.09,3.74,0.89,0.33
football,Laliga2 2024 2025,Round 41,26/05/,Tenerife,Oviedo,0,1,2,g_1_UyjEvvgU,3.33,2.83,2.48,0.11,0.61
football,Laliga2 2024 2025,Round 41,26/05/,Zaragoza,Dep. La Coruna,1,0,0,g_1_MBn6t0OH,1.58,4.04,5.55,0.64,0.27
football,Laliga2 2024 2025,Round 41,25/05/,Albacete,Racing Club Ferrol2,2,0,0,g_1_Uyzjr1x8,1.61,4.37,4.79,0.91,0.56
football,Laliga2 2024 2025,Round 40,20/05/,Cordoba,Mirandes,1,2,2,g_1_pA1TvSVF,3.06,3.45,2.26,1.05,2.56
football,Laliga2 2024 2025,Round 40,19/05/,Almeria,Racing Santander,2,0,0,g_1_jiIQK6vp,1.76,4.13,4.03,2.18,0.33
football,Laliga2 2024 2025,Round 40,18/05/,Castellon,Eldense,1,1,1,g_1_xpbLtl13,1.58,4.54,4.85,2.36,1.99
football,Laliga2 2024 2025,Round 40,18/05/,Oviedo,Zaragoza,1,0,0,g_1_rLB8VNh2,2.23,3.05,3.55,2.38,0.13
football,Laliga2 2024 2025,Round 40,18/05/,Racing Club Ferrol,Cadiz CF,1,0,0,g_1_2PrZoqwq,3.22,3.25,2.28,1.49,0.58
football,Laliga2 2024 2025,Round 40,18/05/,Malaga,Gijon,2,1,0,g_1_x8t8XqOk,2.53,2.78,3.3,1.4,0.28
football,Laliga2 2024 2025,Round 40,18/05/,FC Cartagena SAD,Tenerife,1,0,0,g_1_dlLYIp9d,3.69,3.44,2.02,1.14,1.9
football,Laliga2 2024 2025,Round 40,18/05/,Huesca,Elche,2,1,0,g_1_dOyrpN7e,3.01,3.13,2.47,2.78,1.43
football,Laliga2 2024 2025,Round 40,17/05/,Dep. La Coruna,Granada CF,2,3,2,g_1_txexw60S,0.0,0.0,0.0,1.19,2.52
football,Laliga2 2024 2025,Round 40,17/05/,Eibar,Burgos CF,1,0,0,g_1_Wth3i5FL,1.94,3.27,4.19,1.26,0.36
football,Laliga2 2024 2025,Round 40,17/05/,Levante,Albacete,1,0,0,g_1_AR3fgRp9,1.46,5.04,5.79,0.91,0.64
football,Laliga2 2024 2025,Round 39,13/05/,Granada CF,Eibar,0,2,2,g_1_2RqwUAHc,1.93,3.13,4.55,0.62,1.8
football,Laliga2 2024 2025,Round 39,12/05/,Tenerife,Racing Club Ferrol,0,0,1,g_1_bgwnSlnA,1.54,3.92,6.53,0.44,0.47
football,Laliga2 2024 2025,Round 39,12/05/,Albacete,Huesca,3,2,0,g_1_8nDTDbRa,2.1,3.6,3.3,2.05,2.5
football,Laliga2 2024 2025,Round 39,12/05/,Eldense,Malaga,1,0,0,g_1_ziQeHXXi,2.01,3.42,3.72,2.22,0.42
football,Laliga2 2024 2025,Round 39,11/05/,Racing Santander,Oviedo,1,1,1,g_1_W6yfQSGM,2.19,3.48,3.18,1.08,0.57
football,Laliga2 2024 2025,Round 39,11/05/,Zaragoza,FC Cartagena SAD,3,2,0,g_1_4WHCDkXG,1.28,5.77,9.64,2.29,0.22
football,Laliga2 2024 2025,Round 39,11/05/,Burgos CF,Cordoba,3,2,0,g_1_U11xCxdC,2.64,3.22,2.71,1.72,1.13
football,Laliga2 2024 2025,Round 39,11/05/,Elche,Levante,1,3,2,g_1_z1T9gUuo,1.86,3.52,4.22,1.56,1.65
football,Laliga2 2024 2025,Round 39,10/05/,Gijon,Dep. La Coruna,2,1,0,g_1_dUdi67Pj,2.05,3.5,3.5,2.4,1.28
football,Laliga2 2024 2025,Round 39,10/05/,Mirandes,Castellon,3,2,0,g_1_CdLKBT1T,1.96,3.61,3.71,2.94,1.82
football,Laliga2 2024 2025,Round 39,10/05/,Cadiz CF,Almeria2,2,1,0,g_1_84O3FB24,4.12,3.61,1.86,1.72,1.09
football,Laliga2 2024 2025,Round 38,06/05/,Castellon,Gijon,4,3,0,g_1_Gx0Sp0cD,1.69,3.84,4.86,2.04,2.91
football,Laliga2 2024 2025,Round 38,05/05/,Dep. La Coruna,Albacete,5,1,0,g_1_Q7JAcwsJ,1.89,3.46,4.18,2.51,0.96
football,Laliga2 2024 2025,Round 38,05/05/,Almeria,Eldense,5,0,0,g_1_jD7tf4zR,1.43,4.42,7.64,3.26,1.17
football,Laliga2 2024 2025,Round 38,05/05/,FC Cartagena SAD,Racing Santander,1,0,0,g_1_rP1KnMS0,5.71,4.72,1.49,1.25,1.76
football,Laliga2 2024 2025,Round 38,04/05/,Racing Club Ferrol,Zaragoza,1,2,2,g_1_00Yp3sDs,4.11,3.41,1.92,1.69,1.7
football,Laliga2 2024 2025,Round 38,04/05/,Levante,Tenerife,1,1,1,g_1_UuQ1aaC6,1.73,3.45,5.28,1.31,0.93
football,Laliga2 2024 2025,Round 38,04/05/,Burgos CF,Elche,0,1,2,g_1_nc8Blrbl,3.24,3.14,2.33,0.62,0.95
football,Laliga2 2024 2025,Round 38,04/05/,Eibar,Mirandes,0,1,2,g_1_WprF83kK,2.66,2.92,2.94,0.31,1.24
football,Laliga2 2024 2025,Round 38,04/05/,Malaga,Granada CF,1,0,0,g_1_0M9LFKdm,3.54,3.29,2.13,2.38,0.48
football,Laliga2 2024 2025,Round 38,03/05/,Huesca,Oviedo,1,2,2,g_1_MFMg1Lsf,2.74,2.85,2.92,1.06,1.17
football,Laliga2 2024 2025,Round 38,03/05/,Cordoba,Cadiz CF,4,2,0,g_1_I16dLtZP,1.9,3.43,4.19,4.18,0.3
