sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Round 29,13/04/,NAC Breda,G.A. Eagles,1,1,1,3.44,3.61,2.16,g_1_KEOEVhk2,1.87,1.11
football,Eredivisie 2024 2025,Round 29,13/04/,PSV,Almere City,5,0,0,1.12,11.2,21.0,g_1_nRa9izCL,4.96,0.76
football,Eredivisie 2024 2025,Round 29,13/04/,Sparta Rotterdam,Heerenveen,3,1,0,1.89,3.98,3.98,g_1_6BttnEZr,2.9,1.42
football,Eredivisie 2024 2025,Round 29,12/04/,Sittard,Feyenoord,0,2,2,6.22,4.5,1.54,g_1_KjtSvcSF,0.3,1.75
football,Eredivisie 2024 2025,Round 29,12/04/,Nijmegen,Waalwijk,2,1,0,1.77,4.0,4.63,g_1_ClL6XEKk,1.4,1.18
football,Eredivisie 2024 2025,Round 28,06/04/,Ajax,NAC Breda,3,1,0,1.29,6.38,10.1,g_1_v3o9SSxg,1.99,0.66
football,Eredivisie 2024 2025,Round 28,06/04/,G.A. Eagles,Utrecht,2,2,1,2.19,4.0,3.08,g_1_0zohSJrA,1.86,1.14
football,Eredivisie 2024 2025,Round 28,06/04/,Sparta Rotterdam,Nijmegen,2,0,0,1.78,3.97,4.58,g_1_CztYIF5d,0.59,0.71
football,Eredivisie 2024 2025,Round 28,06/04/,Waalwijk,Heracles,0,0,1,2.52,3.63,2.79,g_1_Kx1gQcDM,1.6,0.95
football,Eredivisie 2024 2025,Round 28,06/04/,Almere City,Zwolle,2,2,1,2.53,3.37,2.94,g_1_p0lHQ675,3.17,1.29
football,Eredivisie 2024 2025,Round 28,06/04/,Groningen,PSV,1,3,2,6.94,4.87,1.47,g_1_CE4c6xMj,0.7,1.49
football,Eredivisie 2024 2025,Round 28,06/04/,Twente,Sittard,1,1,1,1.43,5.13,7.4,g_1_SMnpUuEc,1.78,0.72
football,Eredivisie 2024 2025,Round 28,05/04/,AZ Alkmaar,Feyenoord,0,1,2,2.74,3.61,2.58,g_1_6FxQOpxI,0.85,0.23
football,Eredivisie 2024 2025,Round 28,05/04/,Heerenveen,Willem II,3,1,0,1.56,4.44,6.14,g_1_jLiPKyyp,1.74,1.42
football,Eredivisie 2024 2025,Round 25,03/04/,Feyenoord,Groningen,4,1,0,1.43,4.75,8.25,g_1_MN2DqRCi,1.12,0.86
football,Eredivisie 2024 2025,Round 25,02/04/,AZ Alkmaar,Waalwijk,2,2,1,1.25,7.2,11.3,g_1_zXscsyWN,2.38,0.83
football,Eredivisie 2024 2025,Round 27,30/03/,Feyenoord,G.A. Eagles,3,2,0,1.45,5.13,6.95,g_1_IBk1aU86,1.62,0.79
football,Eredivisie 2024 2025,Round 27,30/03/,Heracles,Twente,2,1,0,4.07,3.8,1.92,g_1_6XVeLBVP,1.8,0.64
football,Eredivisie 2024 2025,Round 27,30/03/,PSV,Ajax,0,2,2,0.0,0.0,0.0,g_1_SOHjAoNO,1.3,0.83
football,Eredivisie 2024 2025,Round 27,30/03/,Utrecht,Heerenveen,2,0,0,1.88,3.87,4.19,g_1_OCdh1jvf,1.22,0.97
football,Eredivisie 2024 2025,Round 27,30/03/,Nijmegen,AZ Alkmaar,3,3,1,4.21,3.63,1.93,g_1_xGMRFkgm,1.38,1.01
football,Eredivisie 2024 2025,Round 27,30/03/,Zwolle,Waalwijk,2,0,0,1.99,3.76,3.81,g_1_WdOsC7hC,2.6,0.27
football,Eredivisie 2024 2025,Round 27,30/03/,Sittard,Sparta Rotterdam,0,3,2,3.0,3.31,2.53,g_1_jPm9c8wJ,1.48,2.0
football,Eredivisie 2024 2025,Round 27,30/03/,Willem II,Almere City,0,2,2,2.74,3.34,2.74,g_1_ryh0Ul8t,0.67,1.94
football,Eredivisie 2024 2025,Round 27,30/03/,NAC Breda,Groningen,1,1,1,3.1,3.1,2.59,g_1_bVAzETNa,1.74,1.26
football,Eredivisie 2024 2025,Round 26,17/03/,Ajax,AZ Alkmaar,2,2,1,1.93,3.82,3.98,g_1_CvWqzEue,1.42,0.72
football,Eredivisie 2024 2025,Round 26,16/03/,Groningen,Sittard,1,0,0,1.98,3.44,4.27,g_1_prRwde2E,1.12,0.36
